id,title,slug,description,type,category_id,region_id,tags,owner_user_id,created_by_user_id,updated_by_user_id,phone,email,website_url,social_links,featured_image,gallery_images,status,is_featured,is_verified,is_claimed,meta_title,meta_description,structured_data,view_count,list_count,created_at,updated_at
102,Test Restaurant,test-restaurant,A test restaurant for category filtering,business_b2c,1,,,,1,,,,,,,,published,f,f,f,,,,0,0,2025-07-14 20:21:36,2025-07-14 20:21:36
2,TechHub Electronics,techhub-electronics,Your one-stop shop for all electronics needs. Best prices guaranteed!,business_b2c,9,,"[""walk-in"",""appointment""]",,1,,(555) 987-6543,support@techhub.com,https://techhub.com,"{""facebook"":""https:\/\/facebook.com\/techhub-electronics"",""instagram"":""https:\/\/instagram.com\/techhub-electronics""}",,,published,t,f,f,,,,0,0,2025-06-01 20:18:34,2025-07-12 16:03:03
3,Serenity Spa & Wellness,serenity-spa-wellness,Relax and rejuvenate with our premium spa services.,business_b2c,14,,"[""local"",""appointment""]",,1,,(555) 456-7890,relax@serenityspa.com,https://serenityspa.com,"{""facebook"":""https:\/\/facebook.com\/serenity-spa-wellness"",""instagram"":""https:\/\/instagram.com\/serenity-spa-wellness""}",,,published,t,f,f,,,,0,0,2025-06-01 20:18:34,2025-07-12 16:03:03
73,Sazon Restaurant,sazon-restaurant,Mexican and Latin American cuisine with tequila bar.,business_b2c,1,,"[""mexican"",""latin"",""tequila_bar"",""seafood""]",,2,,,info@sazonrestaurant.com,https://sazonrestaurant.com,,,[],published,f,f,f,,,,0,0,2025-06-29 03:06:50,2025-07-12 16:03:03
6,Mobile Pet Grooming,mobile-pet-grooming,We come to you! Professional pet grooming at your doorstep.,service,16,1,"[""mobile"",""professional"",""licensed""]",,1,,(555) 321-9876,woof@mobilepetgrooming.com,https://mobilepetgrooming.com,"{""facebook"":""https:\/\/facebook.com\/mobile-pet-grooming"",""instagram"":""https:\/\/instagram.com\/mobile-pet-grooming""}",,,published,f,t,f,,,,0,0,2025-06-01 20:18:34,2025-06-01 20:18:34
4,CloudTech Solutions,cloudtech-solutions,Enterprise cloud computing solutions for modern businesses.,online,26,1,"[""digital"",""worldwide""]",,1,,(800) 555-2468,contact@cloudtechsolutions.com,https://cloudtechsolutions.com,"{""facebook"":""https:\/\/facebook.com\/cloudtech-solutions"",""instagram"":""https:\/\/instagram.com\/cloudtech-solutions""}",,,published,t,t,f,,,,0,0,2025-06-01 20:18:34,2025-06-01 20:18:34
79,Jax at Mammoth,jax-at-mammoth,"Women's apparel, accessories and gifts.",business_b2c,7,,"[""retail"",""clothing"",""womens_fashion""]",,2,,,info@jaxatmammoth.com,https://jaxatmammoth.com,,,[],published,f,f,f,,,,0,0,2025-06-29 03:06:50,2025-07-12 16:03:03
80,Franz Klammer Sports,franz-klammer-sports,Ski and snowboard equipment rental and retail.,business_b2c,7,,"[""retail"",""ski_rental"",""snowboard"",""gear""]",,2,,,info@franzklammersports.com,https://franzklammersports.com,,,[],published,f,f,f,,,,0,0,2025-06-29 03:06:50,2025-07-12 16:03:03
81,Mammoth Mountain Ski & Board,mammoth-mountain-ski-board,Ski and snowboard rentals plus retail shop.,business_b2c,7,,"[""rental"",""ski"",""snowboard"",""gear""]",,2,,,info@mammothmountainski&board.com,https://mammothmountainski&board.com,,,[],published,f,f,f,,,,0,0,2025-06-29 03:06:50,2025-07-12 16:03:03
74,Skadi,skadi,Upscale fine dining with French-inspired cuisine.,business_b2c,1,,"[""fine_dining"",""french"",""seafood"",""steakhouse""]",,2,,,info@skadi.com,https://skadi.com,,,[],published,f,f,f,,,,0,0,2025-06-29 03:06:50,2025-07-12 16:03:03
75,Mammoth Brewing Company,mammoth-brewing-company,Craft brewery and pub with rotating beers and pub fare.,business_b2c,1,,"[""brewery"",""beer"",""brewpub"",""bar""]",,2,,,info@mammothbrewingcompany.com,https://mammothbrewingcompany.com,,,[],published,f,f,f,,,,0,0,2025-06-29 03:06:50,2025-07-12 16:03:03
76,Toomey's,toomeys,Upscale bar and restaurant with craft cocktails.,business_b2c,1,,"[""bar"",""restaurant"",""cocktails"",""upscale""]",,2,,,info@toomeys.com,https://toomeys.com,,,[],published,f,f,f,,,,0,0,2025-06-29 03:06:50,2025-07-12 16:03:03
